report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-18,KC@NYY,NYY,Ben Rice,Noah Cameron,,,,,NA,,,,,0.851,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,NYY,Randal Grichuk,Noah Cameron,,,,,NA,,,,,0.180,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,NYY,Jazz Chisholm Jr.,Noah Cameron,,,,,NA,,,,,0.270,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,NYY,José Caballero,Noah Cameron,,,,,NA,,,,,0.499,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,KC@NYY,NYY,J.C. Escarra,Noah Cameron,,,,,NA,,,,,0.180,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,TJ Friedl,Taj Bradley,,,,,NA,,,,,0.248,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,Will Benson,Taj Bradley,,,,,NA,,,,,0.312,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,Elly De La Cruz,Taj Bradley,,,,,NA,,,,,0.705,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,Sal Stewart,Taj Bradley,,,,,NA,,,,,0.763,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,Eugenio Suárez,Taj Bradley,,,,,NA,,,,,0.487,11,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,Nathaniel Lowe,Taj Bradley,,,,,NA,,,,,0.310,11,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,Tyler Stephenson,Taj Bradley,,,,,NA,,,,,0.399,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,Rece Hinds,Taj Bradley,,,,,NA,,,,,0.180,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,CIN,Ke'Bryan Hayes,Taj Bradley,,,,,NA,,,,,0.180,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Byron Buxton,Andrew Abbott,,,,,NA,,,,,0.668,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Austin Martin,Andrew Abbott,,,,,NA,,,,,0.667,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Josh Bell,Andrew Abbott,,,,,NA,,,,,0.466,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Ryan Jeffers,Andrew Abbott,,,,,NA,,,,,0.655,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Luke Keaschall,Andrew Abbott,,,,,NA,,,,,0.376,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Trevor Larnach,Andrew Abbott,,,,,NA,,,,,0.506,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Brooks Lee,Andrew Abbott,,,,,NA,,,,,0.614,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Ryan Kreidler,Andrew Abbott,,,,,NA,,,,,0.868,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CIN@MIN,MIN,Tristan Gray,Andrew Abbott,,,,,NA,,,,,0.527,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,Carson Benge,Jameson Taillon,,,,,NA,,,,,0.262,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,Bo Bichette,Jameson Taillon,,,,,NA,,,,,0.432,27,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,Francisco Lindor,Jameson Taillon,,,,,NA,,,,,0.357,19,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,Luis Robert Jr.,Jameson Taillon,,,,,NA,,,,,0.422,14,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,MJ Melendez,Jameson Taillon,,,,,NA,,,,,0.950,9,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,Francisco Alvarez,Jameson Taillon,,,,,NA,,,,,0.550,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,Mark Vientos,Jameson Taillon,,,,,NA,,,,,0.226,7,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,Brett Baty,Jameson Taillon,,,,,NA,,,,,0.254,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,NYM,Marcus Semien,Jameson Taillon,,,,,NA,,,,,0.306,19,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Nico Hoerner,Freddy Peralta,,,,,NA,,,,,0.761,34,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Michael Busch,Freddy Peralta,,,,,NA,,,,,0.180,23,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Alex Bregman,Freddy Peralta,,,,,NA,,,,,0.356,9,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Ian Happ,Freddy Peralta,,,,,NA,,,,,0.571,41,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Seiya Suzuki,Freddy Peralta,,,,,NA,,,,,0.433,30,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Moisés Ballesteros,Freddy Peralta,,,,,NA,,,,,0.950,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Miguel Amaya,Freddy Peralta,,,,,NA,,,,,0.326,10,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Pete Crow-Armstrong,Freddy Peralta,,,,,NA,,,,,0.362,15,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,NYM@CHC,CHC,Dansby Swanson,Freddy Peralta,,,,,NA,,,,,0.726,24,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Chandler Simpson,Paul Skenes,,,,,NA,,,,,0.415,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Junior Caminero,Paul Skenes,,,,,NA,,,,,0.656,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Jonathan Aranda,Paul Skenes,,,,,NA,,,,,0.420,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Yandy Díaz,Paul Skenes,,,,,NA,,,,,0.606,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Jake Fraley,Paul Skenes,,,,,NA,,,,,0.373,7,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Cedric Mullins,Paul Skenes,,,,,NA,,,,,0.370,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Richie Palacios,Paul Skenes,,,,,NA,,,,,0.749,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Hunter Feduccia,Paul Skenes,,,,,NA,,,,,0.301,1,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,TB,Taylor Walls,Paul Skenes,,,,,NA,,,,,0.440,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Oneil Cruz,Drew Rasmussen,,,,,NA,,,,,0.716,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Brandon Lowe,Drew Rasmussen,,,,,NA,,,,,0.709,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Bryan Reynolds,Drew Rasmussen,,,,,NA,,,,,0.588,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Ryan O'Hearn,Drew Rasmussen,,,,,NA,,,,,0.518,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Marcell Ozuna,Drew Rasmussen,,,,,NA,,,,,0.458,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Nick Yorke,Drew Rasmussen,,,,,NA,,,,,0.441,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Spencer Horwitz,Drew Rasmussen,,,,,NA,,,,,0.661,1,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Konnor Griffin,Drew Rasmussen,,,,,NA,,,,,0.351,1,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,TB@PIT,PIT,Henry Davis,Drew Rasmussen,,,,,NA,,,,,0.365,1,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Willy Adames,Cade Cavalli,,,,,NA,,,,,0.703,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Luis Arraez,Cade Cavalli,,,,,NA,,,,,0.470,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Matt Chapman,Cade Cavalli,,,,,NA,,,,,0.551,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Rafael Devers,Cade Cavalli,,,,,NA,,,,,0.364,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Casey Schmitt,Cade Cavalli,,,,,NA,,,,,0.803,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Jung Hoo Lee,Cade Cavalli,,,,,NA,,,,,0.555,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Heliot Ramos,Cade Cavalli,,,,,NA,,,,,0.432,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Drew Gilbert,Cade Cavalli,,,,,NA,,,,,0.756,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,SF,Patrick Bailey,Cade Cavalli,,,,,NA,,,,,0.180,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,James Wood,Adrian Houser,,,,,NA,,,,,0.858,7,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,Luis García Jr.,Adrian Houser,,,,,NA,,,,,0.431,7,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,José Tena,Adrian Houser,,,,,NA,,,,,0.578,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,CJ Abrams,Adrian Houser,,,,,NA,,,,,0.950,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,Jacob Young,Adrian Houser,,,,,NA,,,,,0.494,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,Daylen Lile,Adrian Houser,,,,,NA,,,,,0.392,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,Nasim Nuñez,Adrian Houser,,,,,NA,,,,,0.279,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,Jorbit Vivas,Adrian Houser,,,,,NA,,,,,0.452,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,SF@WSH,WSH,Drew Millas,Adrian Houser,,,,,NA,,,,,0.292,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Andrew Benintendi,Luis Severino,,,,,NA,,,,,0.441,43,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Munetaka Murakami,Luis Severino,,,,,NA,,,,,0.551,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Miguel Vargas,Luis Severino,,,,,NA,,,,,0.364,7,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Colson Montgomery,Luis Severino,,,,,NA,,,,,0.534,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Everson Pereira,Luis Severino,,,,,NA,,,,,0.950,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Sam Antonacci,Luis Severino,,,,,NA,,,,,0.205,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Chase Meidroth,Luis Severino,,,,,NA,,,,,0.386,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Tristan Peters,Luis Severino,,,,,NA,,,,,0.180,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,CWS,Reese McGuire,Luis Severino,,,,,NA,,,,,0.409,9,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Jeff McNeil,Erick Fedde,,,,,NA,,,,,0.559,25,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Shea Langeliers,Erick Fedde,,,,,NA,,,,,0.570,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Nick Kurtz,Erick Fedde,,,,,NA,,,,,0.579,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Tyler Soderstrom,Erick Fedde,,,,,NA,,,,,0.515,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Jacob Wilson,Erick Fedde,,,,,NA,,,,,0.400,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Carlos Cortes,Erick Fedde,,,,,NA,,,,,0.546,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Max Muncy,Erick Fedde,,,,,NA,,,,,0.469,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Lawrence Butler,Erick Fedde,,,,,NA,,,,,0.335,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,CWS@ATH,ATH,Austin Wynns,Erick Fedde,,,,,NA,,,,,0.180,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,DET@BOS,DET,Kevin McGonigle,Brayan Bello,,,,,3500,,1.5,365,,0.574,3,,,,,,not_scored,not_scored,Display only,full,not_scored
2026-04-18,DET@BOS,DET,Gleyber Torres,Brayan Bello,,,,,3500,,0.5,550,,0.453,28,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,DET,Colt Keith,Brayan Bello,,,,,7500,,0.5,1000,,0.438,5,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,DET,Riley Greene,Brayan Bello,,,,,2000,,1.5,725,,0.522,11,,,,,,not_scored,not_scored,Display only,full,not_scored
2026-04-18,DET@BOS,DET,Spencer Torkelson,Brayan Bello,,,,,NA,,1.5,50,,0.447,6,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,DET,Kerry Carpenter,Brayan Bello,,,,,NA,,1.5,100,,0.732,7,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,DET,Wenceel Pérez,Brayan Bello,,,,,NA,,1.5,50,,0.264,5,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,DET,Javier Báez,Brayan Bello,,,,,NA,,1.5,50,,0.608,7,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,DET,Jake Rogers,Brayan Bello,,,,,2450,,1.5,380,,0.180,2,,,,,,not_scored,not_scored,Display only,full,not_scored
2026-04-18,DET@BOS,BOS,Roman Anthony,Tarik Skubal,,,,,NA,,1.5,242,,0.432,3,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,BOS,Andruw Monasterio,Tarik Skubal,,,,,NA,,,,,0.504,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,DET@BOS,BOS,Willson Contreras,Tarik Skubal,,,,,NA,,1.5,260,,0.735,9,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,BOS,Trevor Story,Tarik Skubal,,,,,NA,,0.5,340,,0.445,11,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,BOS,Wilyer Abreu,Tarik Skubal,,,,,NA,,1.5,700,,0.418,3,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,BOS,Ceddanne Rafaela,Tarik Skubal,,,,,NA,,1.5,150,,0.486,8,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,BOS,Caleb Durbin,Tarik Skubal,,,,,NA,,3.5,700,,0.352,2,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-18,DET@BOS,BOS,Connor Wong,Tarik Skubal,,,,,NA,,,,,0.455,7,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,DET@BOS,BOS,Isiah Kiner-Falefa,Tarik Skubal,,,,,NA,,,,,0.378,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,Sal Frelick,Sandy Alcantara,,,,,NA,,,,,0.292,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,William Contreras,Sandy Alcantara,,,,,NA,,,,,0.594,12,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,Brice Turang,Sandy Alcantara,,,,,NA,,,,,0.556,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,Gary Sánchez,Sandy Alcantara,,,,,NA,,,,,0.726,15,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,Jake Bauers,Sandy Alcantara,,,,,NA,,,,,0.670,15,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,Luis Rengifo,Sandy Alcantara,,,,,NA,,,,,0.296,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,Garrett Mitchell,Sandy Alcantara,,,,,NA,,,,,0.622,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,Brandon Lockridge,Sandy Alcantara,,,,,NA,,,,,0.288,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIL,Joey Ortiz,Sandy Alcantara,,,,,NA,,,,,0.180,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Jakob Marsee,Brandon Woodruff,,,,,NA,,,,,0.302,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Xavier Edwards,Brandon Woodruff,,,,,NA,,,,,0.543,12,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Agustín Ramírez,Brandon Woodruff,,,,,NA,,,,,0.501,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Liam Hicks,Brandon Woodruff,,,,,NA,,,,,0.458,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Otto Lopez,Brandon Woodruff,,,,,NA,,,,,0.755,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Connor Norby,Brandon Woodruff,,,,,NA,,,,,0.672,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Owen Caissie,Brandon Woodruff,,,,,NA,,,,,0.278,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Heriberto Hernández,Brandon Woodruff,,,,,NA,,,,,0.284,7,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,MIL@MIA,MIA,Javier Sanoja,Brandon Woodruff,,,,,NA,,,,,0.342,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Gunnar Henderson,Gavin Williams,,,,,NA,,,,,0.568,9,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Taylor Ward,Gavin Williams,,,,,NA,,,,,0.491,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Pete Alonso,Gavin Williams,,,,,NA,,,,,0.456,7,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Dylan Beavers,Gavin Williams,,,,,NA,,,,,0.281,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Colton Cowser,Gavin Williams,,,,,NA,,,,,0.217,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Leody Taveras,Gavin Williams,,,,,NA,,,,,0.544,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Samuel Basallo,Gavin Williams,,,,,NA,,,,,0.440,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Coby Mayo,Gavin Williams,,,,,NA,,,,,0.299,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,BAL,Jeremiah Jackson,Gavin Williams,,,,,NA,,,,,0.950,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,Steven Kwan,Dean Kremer,,,,,NA,,,,,0.469,14,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,Chase DeLauter,Dean Kremer,,,,,NA,,,,,0.380,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,José Ramírez,Dean Kremer,,,,,NA,,,,,0.646,16,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,Kyle Manzardo,Dean Kremer,,,,,NA,,,,,0.542,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,George Valera,Dean Kremer,,,,,NA,,,,,0.622,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,Rhys Hoskins,Dean Kremer,,,,,NA,,,,,0.451,8,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,Daniel Schneemann,Dean Kremer,,,,,NA,,,,,0.875,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,Bo Naylor,Dean Kremer,,,,,NA,,,,,0.211,6,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,BAL@CLE,CLE,Brayan Rocchio,Dean Kremer,,,,,NA,,,,,0.521,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,JJ Wetherholt,Lance McCullers Jr.,,,,,NA,,,,,0.526,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,Iván Herrera,Lance McCullers Jr.,,,,,NA,,,,,0.551,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,Alec Burleson,Lance McCullers Jr.,,,,,NA,,,,,0.545,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,Jordan Walker,Lance McCullers Jr.,,,,,NA,,,,,0.950,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,Nolan Gorman,Lance McCullers Jr.,,,,,NA,,,,,0.376,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,Masyn Winn,Lance McCullers Jr.,,,,,NA,,,,,0.369,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,Ramón Urías,Lance McCullers Jr.,,,,,NA,,,,,0.605,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,Nathan Church,Lance McCullers Jr.,,,,,NA,,,,,0.547,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,STL,José Fermín,Lance McCullers Jr.,,,,,NA,,,,,0.364,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-18,STL@HOU,HOU,Jose Altuve,Andre Pallante,,,,,NA,,,,,0.527,7,,,,,,not_scored,not_scored,Display only,none,not_scored
