date,game,player,team,prop_type,line,market_odds,closing_odds,result,notes
2026-04-18,TB@PIT,Yandy Díaz,TB,2+ TB,1.5,245,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Jake Fraley,TB,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Jake Fraley,TB,2+ TB,1.5,50,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Cedric Mullins,TB,HR,0.5,1150,,W,"2 H, 5 TB, 1 HR, 1 R, 3 RBI"
2026-04-18,TB@PIT,Cedric Mullins,TB,2+ TB,1.5,290,,W,"2 H, 5 TB, 1 HR, 1 R, 3 RBI"
2026-04-18,TB@PIT,Richie Palacios,TB,HR,0.5,1600,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Richie Palacios,TB,2+ TB,1.5,420,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Hunter Feduccia,TB,HR,0.5,2000,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Hunter Feduccia,TB,2+ TB,1.5,475,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Taylor Walls,TB,HR,0.5,2700,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Taylor Walls,TB,2+ TB,1.5,490,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Oneil Cruz,PIT,HR,0.5,,,L,"1 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Oneil Cruz,PIT,2+ TB,1.5,232,,W,"1 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Brandon Lowe,PIT,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Brandon Lowe,PIT,2+ TB,1.5,100,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Bryan Reynolds,PIT,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Bryan Reynolds,PIT,2+ TB,1.5,420,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,TB@PIT,Ryan O'Hearn,PIT,HR,0.5,,,W,"2 H, 5 TB, 1 HR, 2 R, 2 RBI"
2026-04-18,TB@PIT,Ryan O'Hearn,PIT,2+ TB,1.5,150,,W,"2 H, 5 TB, 1 HR, 2 R, 2 RBI"
2026-04-18,TB@PIT,Marcell Ozuna,PIT,HR,0.5,,,W,"2 H, 5 TB, 1 HR, 1 R, 2 RBI"
2026-04-18,TB@PIT,Marcell Ozuna,PIT,2+ TB,1.5,100,,W,"2 H, 5 TB, 1 HR, 1 R, 2 RBI"
2026-04-18,TB@PIT,Nick Yorke,PIT,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,TB@PIT,Nick Yorke,PIT,2+ TB,1.5,275,,L,"1 H, 1 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,TB@PIT,Spencer Horwitz,PIT,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Spencer Horwitz,PIT,2+ TB,1.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Konnor Griffin,PIT,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,TB@PIT,Konnor Griffin,PIT,2+ TB,1.5,290,,L,"1 H, 1 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,TB@PIT,Henry Davis,PIT,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,TB@PIT,Henry Davis,PIT,2+ TB,1.5,100,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,Willy Adames,SF,HR,0.5,800,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Willy Adames,SF,2+ TB,1.5,225,,L,"1 H, 1 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Luis Arraez,SF,HR,0.5,2100,,L,"2 H, 2 TB, 0 HR, 2 R, 0 RBI"
2026-04-18,SF@WSH,Luis Arraez,SF,2+ TB,1.5,230,,W,"2 H, 2 TB, 0 HR, 2 R, 0 RBI"
2026-04-18,SF@WSH,Matt Chapman,SF,HR,0.5,825,,L,"2 H, 2 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,SF@WSH,Matt Chapman,SF,2+ TB,1.5,-111,,W,"2 H, 2 TB, 0 HR, 1 R, 1 RBI"
2026-04-18,SF@WSH,Rafael Devers,SF,HR,0.5,700,,L,"1 H, 1 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,SF@WSH,Rafael Devers,SF,2+ TB,1.5,-110,,L,"1 H, 1 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,SF@WSH,Casey Schmitt,SF,HR,0.5,1200,,L,"2 H, 3 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,SF@WSH,Casey Schmitt,SF,2+ TB,1.5,312,,W,"2 H, 3 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,SF@WSH,Jung Hoo Lee,SF,HR,0.5,1300,,L,"2 H, 2 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Jung Hoo Lee,SF,2+ TB,1.5,170,,W,"2 H, 2 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Heliot Ramos,SF,HR,0.5,850,,W,"3 H, 7 TB, 1 HR, 2 R, 2 RBI"
2026-04-18,SF@WSH,Heliot Ramos,SF,2+ TB,1.5,192,,W,"3 H, 7 TB, 1 HR, 2 R, 2 RBI"
2026-04-18,SF@WSH,Drew Gilbert,SF,HR,0.5,1400,,L,"2 H, 2 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,SF@WSH,Drew Gilbert,SF,2+ TB,1.5,-2,,W,"2 H, 2 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,SF@WSH,Patrick Bailey,SF,HR,0.5,1300,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,Patrick Bailey,SF,2+ TB,1.5,275,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,James Wood,WSH,HR,0.5,,,W,"1 H, 4 TB, 1 HR, 3 R, 2 RBI"
2026-04-18,SF@WSH,James Wood,WSH,2+ TB,1.5,150,,W,"1 H, 4 TB, 1 HR, 3 R, 2 RBI"
2026-04-18,SF@WSH,Luis García Jr.,WSH,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,SF@WSH,Luis García Jr.,WSH,2+ TB,1.5,255,,L,"1 H, 1 TB, 0 HR, 0 R, 2 RBI"
2026-04-18,SF@WSH,José Tena,WSH,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,SF@WSH,José Tena,WSH,2+ TB,1.5,,,L,"1 H, 1 TB, 0 HR, 0 R, 1 RBI"
2026-04-18,SF@WSH,CJ Abrams,WSH,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,CJ Abrams,WSH,2+ TB,1.5,202,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,Jacob Young,WSH,HR,0.5,,,L,"2 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,Jacob Young,WSH,2+ TB,1.5,-115,,W,"2 H, 2 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,Daylen Lile,WSH,HR,0.5,,,L,"2 H, 3 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,Daylen Lile,WSH,2+ TB,1.5,150,,W,"2 H, 3 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,SF@WSH,Nasim Nuñez,WSH,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Nasim Nuñez,WSH,2+ TB,1.5,325,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Jorbit Vivas,WSH,HR,0.5,,,L,"1 H, 2 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Jorbit Vivas,WSH,2+ TB,1.5,100,,W,"1 H, 2 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Drew Millas,WSH,HR,0.5,,,L,"1 H, 2 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,SF@WSH,Drew Millas,WSH,2+ TB,1.5,,,W,"1 H, 2 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,CWS@ATH,Andrew Benintendi,CWS,HR,0.5,,,W,"1 H, 4 TB, 1 HR, 1 R, 3 RBI"
2026-04-18,CWS@ATH,Andrew Benintendi,CWS,2+ TB,1.5,,,W,"1 H, 4 TB, 1 HR, 1 R, 3 RBI"
2026-04-18,CWS@ATH,Munetaka Murakami,CWS,HR,0.5,372,,W,"1 H, 4 TB, 1 HR, 1 R, 1 RBI"
2026-04-18,CWS@ATH,Munetaka Murakami,CWS,2+ TB,1.5,124,,W,"1 H, 4 TB, 1 HR, 1 R, 1 RBI"
2026-04-18,CWS@ATH,Miguel Vargas,CWS,HR,0.5,562,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CWS@ATH,Miguel Vargas,CWS,2+ TB,1.5,127,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CWS@ATH,Colson Montgomery,CWS,HR,0.5,418,,W,"1 H, 4 TB, 1 HR, 1 R, 1 RBI"
2026-04-18,CWS@ATH,Colson Montgomery,CWS,2+ TB,1.5,126,,W,"1 H, 4 TB, 1 HR, 1 R, 1 RBI"
2026-04-18,CWS@ATH,Everson Pereira,CWS,HR,0.5,665,,L,"2 H, 4 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,CWS@ATH,Everson Pereira,CWS,2+ TB,1.5,150,,W,"2 H, 4 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,CWS@ATH,Sam Antonacci,CWS,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CWS@ATH,Sam Antonacci,CWS,2+ TB,1.5,100,,L,"0 H, 0 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CWS@ATH,Chase Meidroth,CWS,HR,0.5,975,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CWS@ATH,Chase Meidroth,CWS,2+ TB,1.5,128,,L,"1 H, 1 TB, 0 HR, 0 R, 0 RBI"
2026-04-18,CWS@ATH,Tristan Peters,CWS,HR,0.5,,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,CWS@ATH,Tristan Peters,CWS,2+ TB,1.5,,,L,"0 H, 0 TB, 0 HR, 1 R, 0 RBI"
2026-04-18,CWS@ATH,Reese McGuire,CWS,HR,0.5,,,L,"1 H, 1 TB, 0 HR, 1 R, 1 RBI"
