rank,player,team,game,prop,line,current_odds,implied_probability,fair_probability,fair_price,edge_pct,confidence,recommendation,short_reasoning,required_recheck,source,last_update
34,Wilyer Abreu,unavailable,HOU@BOS,2+ total bases,1.5,107,0.4831,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
35,William Contreras,unavailable,MIL@WSH,2+ total bases,1.5,108,0.4808,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
36,Elly De La Cruz,unavailable,CIN@PIT,2+ total bases,1.5,108,0.4808,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
37,Michael Harris,unavailable,ATL@COL,2+ total bases,1.5,108,0.4808,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
38,Chase DeLauter,unavailable,CLE@ATH,2+ total bases,1.5,110,0.4762,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
39,Steven Kwan,unavailable,CLE@ATH,2+ total bases,1.5,110,0.4762,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
40,Teoscar Hernandez,unavailable,LAD@STL,2+ total bases,1.5,111,0.4739,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
41,Jonah Heim,unavailable,ATL@COL,2+ total bases,1.5,112,0.4717,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
42,Mike Trout,unavailable,NYM@LAA,2+ total bases,1.5,112,0.4717,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
43,Junior Caminero,unavailable,SF@TB,2+ total bases,1.5,117,0.4608,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
44,Christian Walker,unavailable,HOU@BOS,2+ total bases,1.5,118,0.4587,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
45,Freddie Freeman,unavailable,LAD@STL,2+ total bases,1.5,118,0.4587,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
46,Will Smith,unavailable,LAD@STL,2+ total bases,1.5,118,0.4587,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
47,Josh Jung,unavailable,TEX@DET,2+ total bases,1.5,120,0.4545,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
48,Brice Turang,unavailable,MIL@WSH,2+ total bases,1.5,120,0.4545,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
49,Oneil Cruz,unavailable,CIN@PIT,2+ total bases,1.5,120,0.4545,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
50,Sal Stewart,unavailable,CIN@PIT,2+ total bases,1.5,120,0.4545,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
51,Jose Altuve,unavailable,HOU@BOS,2+ total bases,1.5,120,0.4545,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
52,Yainer Diaz,unavailable,HOU@BOS,2+ total bases,1.5,120,0.4545,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
53,Fernando Tatis,unavailable,CWS@SD,2+ total bases,1.5,120,0.4545,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
54,Bobby Witt,unavailable,KC@SEA,2+ total bases,1.5,120,0.4545,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
55,Ben Rice,unavailable,BAL@NYY,2+ total bases,1.5,121,0.4525,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
56,Jake Bauers,unavailable,MIL@WSH,2+ total bases,1.5,122,0.4505,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
57,Andy Pages,unavailable,LAD@STL,2+ total bases,1.5,122,0.4505,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
58,Gunnar Henderson,unavailable,BAL@NYY,2+ total bases,1.5,123,0.4484,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
59,Munetaka Murakami,unavailable,CWS@SD,2+ total bases,1.5,123,0.4484,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
60,Ceddanne Rafaela,unavailable,HOU@BOS,2+ total bases,1.5,124,0.4464,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
61,Luis Arraez,unavailable,SF@TB,2+ total bases,1.5,124,0.4464,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
62,Luis Rengifo,unavailable,MIL@WSH,2+ total bases,1.5,125,0.4444,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
63,Ryan O'Hearn,unavailable,CIN@PIT,2+ total bases,1.5,125,0.4444,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
64,Bryce Harper,unavailable,PHI@MIA,2+ total bases,1.5,125,0.4444,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
65,Heliot Ramos,unavailable,SF@TB,2+ total bases,1.5,125,0.4444,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
66,Brandon Lowe,unavailable,CIN@PIT,2+ total bases,1.5,126,0.4425,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
67,Amed Rosario,unavailable,BAL@NYY,2+ total bases,1.5,126,0.4425,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
68,TJ Rumfield,unavailable,ATL@COL,2+ total bases,1.5,126,0.4425,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
69,Corey Seager,unavailable,TEX@DET,2+ total bases,1.5,127,0.4405,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
70,Kyle Schwarber,unavailable,PHI@MIA,2+ total bases,1.5,127,0.4405,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
71,Ernie Clement,unavailable,TOR@MIN,2+ total bases,1.5,128,0.4386,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
72,Jesus Sanchez,unavailable,TOR@MIN,2+ total bases,1.5,128,0.4386,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
73,Edouard Julien,unavailable,ATL@COL,2+ total bases,1.5,128,0.4386,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
74,Colson Montgomery,unavailable,CWS@SD,2+ total bases,1.5,129,0.4367,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
75,Nico Hoerner,unavailable,AZ@CHC,2+ total bases,1.5,129,0.4367,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
76,Cody Bellinger,unavailable,BAL@NYY,2+ total bases,1.5,130,0.4348,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
77,Trevor Story,unavailable,HOU@BOS,2+ total bases,1.5,130,0.4348,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
78,Daulton Varsho,unavailable,TOR@MIN,2+ total bases,1.5,130,0.4348,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
79,Eli White,unavailable,ATL@COL,2+ total bases,1.5,130,0.4348,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
80,Zach Neto,unavailable,NYM@LAA,2+ total bases,1.5,130,0.4348,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
81,Brent Rooker,unavailable,CLE@ATH,2+ total bases,1.5,130,0.4348,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
82,Ramon Laureano,unavailable,CWS@SD,2+ total bases,1.5,130,0.4348,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
83,Isaac Paredes,unavailable,HOU@BOS,2+ total bases,1.5,131,0.4329,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
84,Angel Martinez,unavailable,CLE@ATH,2+ total bases,1.5,131,0.4329,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
85,Manny Machado,unavailable,CWS@SD,2+ total bases,1.5,131,0.4329,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
86,Brandon Nimmo,unavailable,TEX@DET,2+ total bases,1.5,132,0.431,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
87,Ryan Jeffers,unavailable,TOR@MIN,2+ total bases,1.5,132,0.431,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
88,Troy Johnston,unavailable,ATL@COL,2+ total bases,1.5,132,0.431,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
89,Andrew Benintendi,unavailable,CWS@SD,2+ total bases,1.5,132,0.431,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
90,Kyle Stowers,unavailable,PHI@MIA,2+ total bases,1.5,133,0.4292,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
91,Kyle Manzardo,unavailable,CLE@ATH,2+ total bases,1.5,133,0.4292,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
92,Otto Lopez,unavailable,PHI@MIA,2+ total bases,1.5,134,0.4274,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
93,Jo Adell,unavailable,NYM@LAA,2+ total bases,1.5,134,0.4274,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
94,Garrett Mitchell,unavailable,MIL@WSH,2+ total bases,1.5,135,0.4255,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
95,Bryan Reynolds,unavailable,CIN@PIT,2+ total bases,1.5,135,0.4255,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
96,Adolis Garcia,unavailable,PHI@MIA,2+ total bases,1.5,135,0.4255,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
97,Tyler Soderstrom,unavailable,CLE@ATH,2+ total bases,1.5,135,0.4255,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
98,Jackson Merrill,unavailable,CWS@SD,2+ total bases,1.5,135,0.4255,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
99,Casey Schmitt,unavailable,SF@TB,2+ total bases,1.5,136,0.4237,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
100,Pete Alonso,unavailable,BAL@NYY,2+ total bases,1.5,137,0.4219,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
101,Roman Anthony,unavailable,HOU@BOS,2+ total bases,1.5,138,0.4202,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
102,Francisco Alvarez,unavailable,NYM@LAA,2+ total bases,1.5,138,0.4202,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
103,Paul Goldschmidt,unavailable,BAL@NYY,2+ total bases,1.5,139,0.4184,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
104,Nick Gonzales,unavailable,CIN@PIT,2+ total bases,1.5,140,0.4167,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
105,Nathaniel Lowe,unavailable,CIN@PIT,2+ total bases,1.5,140,0.4167,,,,5.0,WATCHLIST,"Price captured, but no player Statcast/pitch-type/fair-probability model in this artifact; not a bet.","official lineup/spot, current price, and fair-probability model",rotowire_props_two_way,2026-05-01
