rank,player,team,game,lineup_spot,hr_odds,implied_probability,estimated_hr_probability,fair_odds,edge_pct,weather_park,pitch_type_matchup,confidence,recommendation,unit_size,short_reasoning,source,last_update
13,Byron Buxton,unavailable,TOR@MIN,unavailable,340,0.2273,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
14,Hunter Goodman,unavailable,ATL@COL,unavailable,342,0.2262,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
15,Yordan Alvarez,unavailable,HOU@BOS,unavailable,346,0.2242,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
16,Jose Ramirez,unavailable,CLE@ATH,unavailable,350,0.2222,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
17,Austin Riley,unavailable,ATL@COL,unavailable,351,0.2217,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
18,James Wood,unavailable,MIL@WAS,unavailable,359,0.2179,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
19,Ronald Acuna Jr.,unavailable,ATL@COL,unavailable,369,0.2132,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
20,Colson Montgomery,unavailable,CWS@SD,unavailable,378,0.2092,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
21,MJ Melendez,unavailable,NYM@LAA,unavailable,382,0.2075,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
22,Nick Kurtz,unavailable,CLE@A'S,unavailable,382,0.2075,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
23,Oneil Cruz,unavailable,CIN@PIT,unavailable,390,0.2041,,,,weather delay risk,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
24,Fernando Tatis Jr.,unavailable,CWS@SD,unavailable,396,0.2016,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
25,Jake Bauers,unavailable,MIL@WSH,unavailable,400,0.2,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
26,Mickey Moniak,unavailable,ATL@COL,unavailable,400,0.2,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
27,Corey Seager,unavailable,TEX@DET,unavailable,402,0.1992,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
28,Willson Contreras,unavailable,HOU@BOS,unavailable,407,0.1972,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
29,Kyle Stowers,unavailable,PHI@MIA,unavailable,410,0.1961,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
30,Brent Rooker,unavailable,CLE@A'S,unavailable,411,0.1957,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
31,Bryce Harper,unavailable,PHI@MIA,unavailable,412,0.1953,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
32,Gary Sanchez,unavailable,MIL@WSH,unavailable,420,0.1923,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
33,Jake Bauers,unavailable,MIL@WAS,unavailable,420,0.1923,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
34,Heliot Ramos,unavailable,SF@TB,unavailable,433,0.1876,,,,neutral dome,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
35,Manny Machado,unavailable,CWS@SD,unavailable,434,0.1873,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
36,Bobby Witt Jr.,unavailable,KC@SEA,unavailable,443,0.1842,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
37,Max Muncy (LAD),unavailable,LAD@STL,unavailable,445,0.1835,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
38,Vladimir Guerrero Jr.,unavailable,TOR@MIN,unavailable,453,0.1808,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
39,Brandon Lowe,unavailable,CIN@PIT,unavailable,454,0.1805,,,,weather delay risk,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
40,Kyle Manzardo,unavailable,CLE@ATH,unavailable,455,0.1802,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
41,Daulton Varsho,unavailable,TOR@MIN,unavailable,457,0.1795,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
42,Jorge Soler,unavailable,NYM@LAA,unavailable,457,0.1795,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
43,Carter Jensen,unavailable,KC@SEA,unavailable,457,0.1795,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
44,Wilyer Abreu,unavailable,HOU@BOS,unavailable,458,0.1792,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
45,Drake Baldwin,unavailable,ATL@COL,unavailable,458,0.1792,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
46,Jonah Heim,unavailable,ATL@COL,unavailable,460,0.1786,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
47,Miguel Vargas,unavailable,CWS@SD,unavailable,461,0.1783,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
48,Kyle Manzardo,unavailable,CLE@A'S,unavailable,462,0.1779,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
49,Elly De La Cruz,unavailable,CIN@PIT,unavailable,463,0.1776,,,,weather delay risk,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
50,Zach Neto,unavailable,NYM@LAA,unavailable,463,0.1776,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
51,Christian Walker,unavailable,HOU@BOS,unavailable,464,0.1773,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
52,George Springer,unavailable,TOR@MIN,unavailable,464,0.1773,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
53,Chase DeLauter,unavailable,CLE@ATH,unavailable,466,0.1767,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
54,Amed Rosario,unavailable,BAL@NYY,unavailable,468,0.1761,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
55,Max Muncy,unavailable,LAD@STL,unavailable,468,0.1761,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
56,Jo Adell,unavailable,NYM@LAA,unavailable,468,0.1761,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
57,Vinnie Pasquantino,unavailable,KC@SEA,unavailable,472,0.1748,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
58,Michael Harris,unavailable,ATL@COL,unavailable,475,0.1739,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
59,Jac Caglianone,unavailable,KC@SEA,unavailable,475,0.1739,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
60,Chase DeLauter,unavailable,CLE@A'S,unavailable,475,0.1739,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
61,Rafael Devers,unavailable,SF@TB,unavailable,476,0.1736,,,,neutral dome,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
62,Eli White,unavailable,ATL@COL,unavailable,481,0.1721,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
63,Pete Alonso,unavailable,BAL@NYY,unavailable,482,0.1718,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
64,Gunnar Henderson,unavailable,BAL@NYY,unavailable,484,0.1712,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
65,Casey Schmitt,unavailable,SF@TB,unavailable,487,0.1704,,,,neutral dome,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
66,Yandy Diaz,unavailable,SF@TB,unavailable,488,0.1701,,,,neutral dome,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
67,William Contreras,unavailable,MIL@WAS,unavailable,489,0.1698,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
68,Ozzie Albies,unavailable,ATL@COL,unavailable,493,0.1686,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
69,William Contreras,unavailable,MIL@WSH,unavailable,495,0.1681,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
70,Jahmai Jones,unavailable,TEX@DET,unavailable,499,0.1669,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
71,Bo Naylor,unavailable,CLE@A'S,unavailable,501,0.1664,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
72,Yoan Moncada,unavailable,NYM@LAA,unavailable,502,0.1661,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
73,Randy Arozarena,unavailable,KC@SEA,unavailable,502,0.1661,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
74,Teoscar Hernandez,unavailable,LAD@STL,unavailable,504,0.1656,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
75,Paul Goldschmidt,unavailable,BAL@NYY,unavailable,508,0.1645,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
76,Bo Naylor,unavailable,CLE@ATH,unavailable,508,0.1645,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
77,Ramon Laureano,unavailable,CWS@SD,unavailable,515,0.1626,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
78,Joc Pederson,unavailable,TEX@DET,unavailable,516,0.1623,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
79,Andrew Benintendi,unavailable,CWS@SD,unavailable,517,0.1621,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
80,Cody Bellinger,unavailable,BAL@NYY,unavailable,520,0.1613,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
81,Sal Stewart,unavailable,CIN@PIT,unavailable,522,0.1608,,,,weather delay risk,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
82,Francisco Alvarez,unavailable,NYM@LAA,unavailable,522,0.1608,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
83,Adolis Garcia,unavailable,PHI@MIA,unavailable,524,0.1603,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
84,Mitch Garver,unavailable,KC@SEA,unavailable,524,0.1603,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
85,Spencer Torkelson,unavailable,TEX@DET,unavailable,525,0.16,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
86,Garrett Mitchell,unavailable,MIL@WSH,unavailable,525,0.16,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
87,Tyler Soderstrom,unavailable,CLE@A'S,unavailable,528,0.1592,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
88,Garrett Mitchell,unavailable,MIL@WAS,unavailable,529,0.159,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
89,Will Smith (LAD),unavailable,LAD@STL,unavailable,531,0.1585,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
90,Brice Turang,unavailable,MIL@WAS,unavailable,532,0.1582,,,,unavailable,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
91,Seiya Suzuki,unavailable,AZ@CHC,unavailable,534,0.1577,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
92,Will Smith,unavailable,LAD@STL,unavailable,540,0.1562,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",rotowire_props_yes_only,2026-05-01
93,Michael Massey,unavailable,KC@SEA,unavailable,540,0.1562,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
94,Salvador Perez,unavailable,KC@SEA,unavailable,542,0.1558,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
95,Samuel Basallo,unavailable,BAL@NYY,unavailable,545,0.155,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
96,Isaac Paredes,unavailable,HOU@BOS,unavailable,545,0.155,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
97,Rob Refsnyder,unavailable,KC@SEA,unavailable,545,0.155,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
98,Ryan Jeffers,unavailable,TOR@MIN,unavailable,547,0.1546,,,,neutral/mild,unavailable: pitch-type data not fetched in artifact-only run,5.0,WATCHLIST,0.0,"HR price captured, but fair probability is unavailable without Statcast/pitch-type and confirmed lineup context; not a bet.",draftkings,2026-05-01
