slate_date,game_id,game,source,source_type,prediction_bucket,label,market_type,team,player,opponent,pitcher,line,odds,odds_estimated,implied_probability,fair_probability,fair_odds,edge,edge_pct,stake_units,confidence_tier,source_confidence,gates_passed,gate_status,gate_conditions,promotion_eligibility,kill_switch,audit_ledger,rationale_short,rationale_full,status,result,profit_units,grading_notes,source_urls,timestamp
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,verification_ingest,verification,LEAN,TB,Royals,Bobby Witt Jr.,,"Anthony Kay, LHP",Over 1.5,-105,,,,,,,,Lean,B,false,PENDING,Fair probability,,NOT_CLEARED,,Gate review: Bobby Witt Jr. TB,Odds current: captured in report only. Lineup status: Confirmed No. 2. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability.,verification_pending,LOSS,,Bobby Witt Jr.: 1 TB; Over 1.5 TB missed. White Sox beat Royals 6-2. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,verification_ingest,verification,LEAN,HIT,Royals,Bobby Witt Jr.,,"Anthony Kay, LHP",Over 0.5,-295,,,,,,,,Lean,B,false,PENDING,Fair probability; steep price,,NOT_CLEARED,,Gate review: Bobby Witt Jr. HIT,Odds current: captured in report only. Lineup status: Confirmed No. 2. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; steep price.,verification_pending,HIT,,"Bobby Witt Jr.: 1 hit; Over 0.5 hit cashed, but v1 fair probability showed negative edge at -295. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,TB,Dodgers,Freddie Freeman,,"Landen Roupp, RHP",Over 1.5,+125,,,,,,,,Watchlist,B,false,PENDING,Fair probability; Giants lineup,,NOT_CLEARED,,Gate review: Freddie Freeman TB,Odds current: captured in report only. Lineup status: Confirmed No. 2. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; Giants lineup.,verification_pending,LOSS,,Freddie Freeman: 0 TB; Over 1.5 TB missed. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,TB,Dodgers,Kyle Tucker,,"Landen Roupp, RHP",Over 1.5,+170,,,,,,,,Watchlist,B,false,PENDING,Fair probability; Giants lineup,,NOT_CLEARED,,Gate review: Kyle Tucker TB,Odds current: captured in report only. Lineup status: Confirmed No. 3. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; Giants lineup.,verification_pending,LOSS,,Kyle Tucker: 0 TB; Over 1.5 TB missed despite tiny positive v1 edge. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,TB,Braves,Matt Olson,,"Ben Brown, RHP",Over 1.5,+165 to +190,,,,,,,,Watchlist,B,false,PENDING,Fair probability; bullpen check,,NOT_CLEARED,,Gate review: Matt Olson TB,Odds current: captured in report only. Lineup status: Confirmed No. 3. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; bullpen check.,verification_pending,LOSS,,Matt Olson: 1 TB; Over 1.5 TB missed. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,TB,Braves,Austin Riley,,"Ben Brown, RHP",Over 1.5,+139,,,,,,,,Watchlist,B,false,PENDING,Fair probability,,NOT_CLEARED,,Gate review: Austin Riley TB,Odds current: captured in report only. Lineup status: Middle order. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability.,verification_pending,LOSS,,Austin Riley: 1 TB; Over 1.5 TB missed. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,verification_ingest,verification,WATCHLIST,TB,Royals,Vinnie Pasquantino,,"Anthony Kay, LHP",Over 1.5,+181,,,,,,,,Watchlist,B,false,PENDING,Fair probability; lefty-lefty cap,,NOT_CLEARED,,Gate review: Vinnie Pasquantino TB,Odds current: captured in report only. Lineup status: Cleanup. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair probability; lefty-lefty cap.,verification_pending,LOSS,,"Vinnie Pasquantino: 0-for-4, 0 TB; Over 1.5 TB missed. White Sox beat Royals 6-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Phillies @ Red Sox,Deep Research packet PDF,verification_ingest,verification,CONDITIONAL,TB,Phillies,Bryce Harper,,"Ranger Suarez, LHP",Over 1.5,+145,,,,,,,,Conditional,C,false,CONDITIONAL,Delay resolution; lineup recheck; fair probability,,NOT_CLEARED,,Gate review: Bryce Harper TB,Odds current: captured in report only. Lineup status: Confirmed No. 3 on MLB snapshot. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Delay resolution; lineup recheck; fair probability.,verification_pending,LOSS,,Bryce Harper: 1 TB; Over 1.5 TB missed after weather/delay gate. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Phillies @ Red Sox,Deep Research packet PDF,verification_ingest,verification,CONDITIONAL,TB,Phillies,Kyle Schwarber,,"Ranger Suarez, LHP",Over 1.5,+165,,,,,,,,Conditional,C,false,CONDITIONAL,Delay resolution; relisted odds; fair probability,,NOT_CLEARED,,Gate review: Kyle Schwarber TB,Odds current: captured in report only. Lineup status: Confirmed top-two on MLB snapshot. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Delay resolution; relisted odds; fair probability.,verification_pending,HIT,,"Kyle Schwarber: HR, 4 TB; Over 1.5 TB hit, but pregame delay/relisted-odds gate remained open. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Phillies @ Red Sox,Deep Research packet PDF,verification_ingest,verification,CONDITIONAL,HIT,Red Sox,Wilyer Abreu,,"Jesus Luzardo, LHP",Over 0.5 hits / Over 1.5 TB,-168 / +181,,,,,,,,Conditional,C,false,CONDITIONAL,Delay resolution; lineup recheck; fair probability,,NOT_CLEARED,,Gate review: Wilyer Abreu HIT,Odds current: captured in report only. Lineup status: Confirmed No. 3. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Delay resolution; lineup recheck; fair probability.,verification_pending,HIT,,"Wilyer Abreu: 2-for-4, 2 TB; Over 0.5 hit and Over 1.5 TB both hit, but delay/lineup/fair-probability gates stayed open. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,verification_ingest,verification,LEAN,ML,ATL,,,Ben Brown / Chris Sale,,ATL -188,,,,,,,,Lean,B,false,PENDING,Bullpen fatigue check; fair price,,NOT_CLEARED,,Gate review: Braves,Odds current: captured in report only. Lineup status: Confirmed lineups. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Bullpen fatigue check; fair price.,verification_pending,LOSS,,"Atlanta ML lost: Cubs beat Braves 2-0. Official May 14 sources conflict with the prompt context, which appears to describe May 13. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,verification_ingest,verification,LEAN,ML,KC,,,Kris Bubic / Anthony Kay,,KC -135,,,,,,,,Lean,B,false,PENDING,Fair price; bullpen state,,NOT_CLEARED,,Gate review: Royals,Odds current: captured in report only. Lineup status: Confirmed lineups. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Fair price; bullpen state.,verification_pending,LOSS,,Kansas City ML lost: White Sox beat Royals 6-2. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,verification_ingest,verification,CONDITIONAL,TOTAL,,,,Kris Bubic / Anthony Kay,Under 8.0 / 7.5,-120 / -114,,,,,,,,Conditional,B,false,CONDITIONAL,Closing total; fair price,,NOT_CLEARED,,Gate review: Royals @ White Sox Under,Odds current: captured in report only. Lineup status: Confirmed lineups. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Closing total; fair price.,verification_pending,PUSH,,Actual total was 8. Under 8.0 pushed; Under 7.5 lost. Split line made the closing-number gate material. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,verification_ingest,verification,LEAN,ML,LAD,,,Landen Roupp / Emmet Sheehan,,LAD -172,,,,,,,,Lean,B,false,PENDING,Giants lineup; fair price,,NOT_CLEARED,,Gate review: Dodgers,Odds current: captured in report only. Lineup status: LAD confirmed; SF TBD. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: Giants lineup; fair price.,verification_pending,HIT,,Dodgers ML hit: Dodgers beat Giants 5-2. Still no official ROI because Giants lineup/fair-price gates were not cleared pregame. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Phillies @ Red Sox,Deep Research packet PDF,verification_ingest,verification,AVOID,TOTAL,,,,Jesus Luzardo / Ranger Suarez,Pre-delay total 7.0,PHI +110 / BOS -116; total 7.0,,,,,,,,Avoid,C,false,BLOCKED,New first-pitch time; relisted odds; lineup re-confirmation; fair price,,NOT_CLEARED,,Gate review: Phillies @ Red Sox Side/Total,Odds current: captured in report only. Lineup status: Delay; lineup recheck required. Starter confirmed: report-supported. Weather confirmed: report-supported but no live recheck by Codex. Fair probability loaded: no. Edge loaded: no. Kill switch clear: no. Final cap: below BET. Missing gates: New first-pitch time; relisted odds; lineup re-confirmation; fair price.,verification_pending,VOID,,Avoid row was not a bet candidate. Final: Phillies beat Red Sox 3-1; total 4. Delay/relisted-market gate correctly blocked official exposure. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
